document_id,extension,size_bytes,extraction_attempted,extraction_method,tokenization_attempted,residual_high_confidence_pi_pattern_count,blocked_for_ai_extraction,needs_operator_review,status
doc_b2649b7627aa9cf6,.pdf,102726,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_1e67e5da08fc720c,.pdf,73152,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_578e86b38f9fc9c6,.pdf,68049,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_3ec53dad93820118,.pdf,62512,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_45f0fcde9d284215,.pdf,56656,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_11799f31e6b1bf2d,.pdf,120036,False,not_attempted,False,0,True,True,duplicate
doc_a5a2293b02b5b8c0,.pdf,139913,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_27e099b8c9dffb5f,.pdf,139595,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_c2547a4518bf18b5,.pdf,63476,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_957bf858445379c6,.pdf,68407,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_912c11bf88bacece,.pdf,116250,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_0bc2168ebd16f272,.pdf,2707773,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_76a73d752b2d7fb8,.pdf,83269,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_96ae84e9b36b546e,.pdf,74914,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_8df6316836947e53,.pdf,62845,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_d50703ae50732787,.pdf,53432,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5837322b7a11a863,.pdf,63057,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_23462ca669f18688,.pdf,57857,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_7bb5d39b40ee7f26,.pdf,54846,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_66b338f15c272fcb,.pdf,24465,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5f54a4ea1303d815,.pdf,3034130,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_809a632c0136c45e,.pdf,60528,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_b6c9d14a704321eb,.pdf,37458,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_d8b083326bd5d5d2,.pdf,75213,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_ee0bcb204a9f0849,.pdf,253214,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_2aac2596f9312173,.pdf,275166,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_bde6644c39022853,.pdf,122041,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_991a2e53decb6194,.pdf,1916180,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_8887314529f7a7bb,.pdf,201014,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_aae66b165dde44a5,.pdf,218932,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_b716eb1805bc0140,.pdf,633760,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_82e8ec7f6e625a35,.pdf,877018,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_b3329e903da68c4f,.pdf,1213148,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_0a2a7a9ea2ffb0cd,.pdf,1155235,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_1ec1888476f2c271,.pdf,912019,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_24810f7ac808240f,.pdf,4791551,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_2e29902c50126e1a,.pdf,662167,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_6ba2f08146e94bba,.pdf,2825555,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_8324c57d52b0cbc2,.pdf,1151591,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_b20fa0c9d56c18a3,.pdf,50066,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_a7d9a415054f3ac8,.pdf,6800205,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_73721490ebbf0b57,.tif,199286,True,image_ocr_unavailable,False,0,True,True,extraction_unavailable
doc_6fbe64a21d9d420b,.pdf,122848,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
